KEY,en,ru
ABILITY_BLOCK_NAME,Block,Блок
ABILITY_BLOCK_DESC,Gain +2 [img:shield].,Получите +2 [img:shield].
ABILITY_BLOCK2_DESC,Gain +5 [img:shield].,Получите +5 [img:shield].
ABILITY_REST_NAME,Rest,Отдых
ABILITY_REST_DESC,"Heal some HP, then fall asleep.","Восстановите немного ОЗ, затем засните."
ABILITY_REST2_DESC,"Heal a lot of HP, then fall asleep.","Восстановите много ОЗ, затем засните."
ABLITY_BRACE_NAME,Brace,Стойкость
ABLITY_BRACE_DESC,Gain +1 temporary Brace until your next turn.,Получите +1 временную Стойкость до вашего следующего хода.
ABLITY_BRACE2_DESC,Gain +1 temporary Brace and +1 temporary Thorns until your next turn.,Получите +1 временную Стойкость и +1 временные Шипы до вашего следующего хода.
ABILITY_GROOM_NAME,Groom,Вылизывание
ABILITY_GROOM_DESC,Remove all of the debuffs on yourself or an adjacent unit.,Снимите все ослабления с себя или соседнего юнита.
ABILITY_GROOM2_DESC,Remove all of the debuffs and heal a little HP to yourself or an adjacent unit.,Снимите все ослабления и восстановите немного ОЗ себе или соседнему юниту.
ABILITY_ROLL_NAME,Roll,Кувырок
ABILITY_ROLL_DESC,Roll up to three tiles in a straight line.,Прокатитесь до трех клеток по прямой.
ABILITY_ROLL2_DESC,Roll up to ten tiles in a straight line.,Прокатитесь до десяти клеток по прямой.
ABILITY_SHARPENCLAWS_NAME,Sharpen Claws,Точить когти
ABILITY_SHARPENCLAWS_DESC,Gain +1 [img:str].,Получите +1 [img:str].
ABILITY_SHARPENCLAWS2_DESC,"Gain +1 [img:str].
Bonus Passive: Your basic attack inflicts Bleed.","Получите +1 [img:str].
Бонус пассивки: Ваша базовая атака вызывает Кровотечение."
ABILITY_REACH_NAME,Reach,Длинные лапы
ABILITY_REACH_DESC,Your next basic attack has +1 range.,Ваша следующая базовая атака получает +1 к дальности.
ABILITY_REACH2_DESC,Your next basic attack has +3 range.,Ваша следующая базовая атака получает +3 к дальности.
ABILITY_BORROWMANA_NAME,Borrow Mana,Одолжить ману
ABILITY_BORROWMANA_DESC,"Steal up to 5 mana from an ally.
[s:.7](Castable once per turn.)[/s]","Украдите до 5 маны у союзника.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_BORROWMANA2_DESC,"Steal all of an ally's mana.
[s:.7](Castable once per turn.)[/s]","Украдите ВСЮ ману у союзника.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_SOOTHINGGLOW_NAME,Soothing Glow,Успокаивающее сияние
ABILITY_SOOTHINGGLOW_DESC,Heal yourself 1.,Исцелите себя на 1.
ABILITY_SOOTHINGGLOW2_DESC,Heal yourself 1 and gain +1 to a random stat.,Исцелите себя на 1 и получите +1 к случайной характеристике.
ABILITY_PONDER_NAME,Ponder,Раздумье
ABILITY_PONDER_DESC,Gain +1 [img:int].,Получите +1 [img:int].
ABILITY_PONDER2_DESC,Gain +1 [img:int] and conjure a random bonus ability.,Получите +1 [img:int] и создайте случайную бонусную способность.
ABILITY_FOCUS_NAME,Focus,Фокус
ABILITY_FOCUS_DESC,Gain +1 [img:dex].,Получите +1 [img:dex].
ABILITY_FOCUS2_DESC,"Gain +1 [img:dex].
Bonus Passive: +25% critical hit chance.","Получите +1 [img:dex].
Бонус пассивки: +25% шанс критического удара."
ABILITY_METABOLIZE_NAME,Metabolize,Метаболизм
ABILITY_METABOLIZE_DESC,Gain +1 [img:con].,Получите +1 [img:con].
ABILITY_METABOLIZE2_DESC,"Gain +1 [img:con].
Bonus Passive: +3 Health Regeneration.","Получите +1 [img:con].
Бонус пассивки: +3 Регенерации Здоровья."
ABILITY_BRAINSTORM_NAME,Brainstorm,Мозговой штурм
ABILITY_BRAINSTORM_DESC,Reduce the costs of your other spells by 1 mana.,Снижает стоимость других ваших заклинаний на 1 ману.
ABILITY_BRAINSTORM2_DESC,Reduce the cost of ALL of your spells by 1 mana.,Снижает стоимость ВСЕХ ваших заклинаний на 1 ману.
ABILITY_CLAWSOUT_NAME,Claws Out,Когти наружу
ABILITY_CLAWSOUT_DESC,Gain +1 Thorns.,Получите +1 Шипы.
ABILITY_CLAWSOUT2_DESC,"Gain +1 Thorns.
[s:.7](This spell costs less.)[/s]","Получите +1 Шипы.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_PREPARETOJUMP_NAME,Hop,Хоп
ABILITY_PREPARETOJUMP_DESC,Hop up to 2 tiles away.,Прыгните на расстояние до 2 клеток.
ABILITY_PREPARETOJUMP2_DESC,Hop up to 4 tiles away.,Прыгните на расстояние до 4 клеток.
ABILITY_SPELLBOOSTRANGE_NAME,Boost,Усиление
ABILITY_SPELLBOOSTRANGE_DESC,Gain +1 Magic Damage until end of turn.,Получите +1 к Магическому Урону до конца хода.
ABILITY_SPELLBOOSTRANGE2_DESC,"Gain +1 Magic Damage until end of turn.
[s:.7](This spell costs less.)[/s]","Получите +1 к Магическому Урону до конца хода.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_STEAMROLLER_NAME,Steam Roller,Паровой каток
ABILITY_STEAMROLLER_DESC,Trample over 1 tile.,"Растопчите врага, проходя через 1 клетку."
ABILITY_STEAMROLLER2_DESC,Trample over 3 tiles.,"Растопчите врагов, проходя через 3 клетки."
ABILITY_GAMBLE_NAME,Gamble,Азарт
ABILITY_GAMBLE_DESC,"Gain +2% critical hit chance. If your next attack is critical, deal +100% more damage and spawn coins.","Получите +2% к шансу крита. Если следующая атака будет критической, нанесите на +100% больше урона и создайте монетки."
ABILITY_GAMBLE2_DESC,"Gain +2% critical hit chance. If your next attack is critical, deal +200% more damage and spawn more coins.","Получите +2% к шансу крита. Если следующая атака будет критической, нанесите на +200% больше урона и создайте больше монеток."
ABILITY_SOULREAP_NAME,Soul Reap,Жатва душ
ABILITY_SOULREAP_DESC,"Deal 1 damage to a unit within five tiles. If this kills it, gain 5 mana.","Нанесите 1 урон юниту в радиусе пяти клеток. Если это убьет его, получите 5 маны."
ABILITY_SOULREAP2_DESC,"Deal 1 damage to any unit. If this kills it, gain 5 mana.","Нанесите 1 урон любому юниту. Если это убьет его, получите 5 маны."
ABILITY_HUNT_NAME,Hunt,Охота
ABILITY_HUNT_DESC,A ranged attack that turns anything it kills into meat.,"Дальняя атака, превращающая убитого в мясо."
ABILITY_HUNT2_DESC,A stronger ranged attack that turns anything it kills into meat.,"Усиленная дальняя атака, превращающая убитого в мясо."
ABILITY_FLEX_NAME,Flex,Флекс
ABILITY_FLEX_DESC,Gain +1 temporary Brace until your next turn and deal 1 knockback to each adjacent unit.,Получите +1 временную Стойкость до следующего хода и отбросьте всех соседних юнитов на 1 клетку.
ABILITY_FLEX2_DESC,"Gain +1 temporary Brace until your next turn and deal 3 knockback to each adjacent unit.
[s:.7](This spell costs less.)[/s]","Получите +1 временную Стойкость до следующего хода и отбросьте всех соседних юнитов на 3 клетки.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_DART_NAME,Dart,Дротик
ABILITY_DART_DESC,Throw a nail that ignores shield.,"Бросьте гвоздь, игнорирующий щит."
ABILITY_DART2_DESC,"Throw a stronger nail that ignores shield.
[s:.7](This spell costs less.)[/s]","Бросьте усиленный гвоздь, игнорирующий щит.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_SMACK_NAME,Smack,Шлепок
ABILITY_SMACK_DESC,A weak melee attack.,Слабая атака ближнего боя.
ABILITY_SMACK2_DESC,A weak melee attack with a chance to repeat.,Слабая атака ближнего боя с шансом повтора.
ABILITY_SPIT_NAME,Spit,Плевок
ABILITY_SPIT_DESC,Spit attack with infinite range that deals 1 damage.,"Плевок с бесконечной дальностью, наносящий 1 урон."
ABILITY_SPIT2_DESC,Spit attack with infinite range that deals 2 damage in an area.,"Плевок с бесконечной дальностью, наносящий 2 урона по области."
ABILITY_MINIHOOK_NAME,Minihook,Мини-крюк
ABILITY_MINIHOOK_DESC,Pull a unit towards you.,Притяните юнита к себе.
ABILITY_MINIHOOK2_DESC,Pull a unit towards you. Deal 1 damage and inflict 1 Bleed on them.,Притяните юнита к себе. Нанесите 1 урон и наложите 1 Кровотечение.
ABILITY_OVERTHERE_NAME,Over There!,Вон там!
ABILITY_OVERTHERE_DESC,Adjacent units turn away from you.,Соседние юниты отворачиваются от вас.
ABILITY_OVERTHERE2_DESC,Units within three tiles of you turn away from you.,Юниты в радиусе трех клеток отворачиваются от вас.
ABILITY_BUTTSCOOT_NAME,Butt Scoot,Езда на попе
ABILITY_BUTTSCOOT_DESC,"Move 1 tile, leaving a maggot familiar behind you.","Переместитесь на 1 клетку, оставляя за собой фамильяра-личинку."
ABILITY_BUTTSCOOT2_DESC,"Move up to 3 tiles, leaving a maggot familiar behind you.","Переместитесь на 3 клетки, оставляя за собой фамильяра-личинку."
ABILITY_CONFUSION_NAME,Confusion,Замешательство
ABILITY_CONFUSION_DESC,Inflict Confusion 2 on a unit.,Наложите Замешательство 2 на юнита.
ABILITY_CONFUSION2_DESC,Inflict Confusion 4 on units in an area.,Наложите Замешательство 4 на юнитов в области.
ABILITY_PLAYDEAD_NAME,Play Dead,Притвориться мертвым
ABILITY_PLAYDEAD_DESC,Down yourself. You don't get injured.,Вырубитесь (упадите без сил). Вы не получите травму.
ABILITY_PLAYDEAD2_DESC,Down yourself. You don't get injured. Revive at the end of the next round at full HP. ,Вырубитесь. Вы не получите травму. Воскресните в конце следующего раунда с полным ОЗ.
ABILITY_REFLECT_NAME,Reflect,Отражение
ABILITY_REFLECT_DESC,Reflect the next projectile that hits you back at the attacker.,"Отразите следующий снаряд, который попадет в вас, обратно в атакующего."
ABILITY_REFLECT2_DESC,You or another unit reflects the next projectile that hits them back at the attacker.,Вы или другой юнит отражаете следующий снаряд обратно в атакующего.
ABILITY_HEALINGBOLT_NAME,Healing Bolt,Целительный разряд
ABILITY_HEALINGBOLT_DESC,A lightning bolt that heals and has a chance to Stun.,"Молния, которая лечит и имеет шанс Оглушить."
ABILITY_HEALINGBOLT2_DESC,A lightning bolt that heals allies and has a chance to Stun enemies.,"Молния, которая лечит союзников и имеет шанс Оглушить врагов."
ABILITY_SLIPTHROUGH_NAME,Slip Through,Проскальзывание
ABILITY_SLIPTHROUGH_DESC,Roll up to two tiles in a diagonal line.,Прокатитесь до двух клеток по диагонали.
ABILITY_SLIPTHROUGH2_DESC,Roll any number of tiles in a diagonal line.,Прокатитесь на любое количество клеток по диагонали.
ABILITY_DUMP_NAME,Dump,Навалить
ABILITY_DUMP_DESC,Spawn a poop on an adjacent tile.,Создайте какашку на соседней клетке.
ABILITY_DUMP2_DESC,Spawn a poop on an adjacent tile. Inflict Poison 3 and a 15% chance to Stun if you poop on a unit.,"Создайте какашку на соседней клетке. Наложите Отравление 3 и 15% шанс Оглушения, если нагадите на юнита."
ABILITY_SNACK_NAME,Snacks,Вкусняшка
ABILITY_SNACK_DESC,Heal yourself or another unit within four tiles 1 HP.,Исцелите себя или другого юнита в радиусе четырех клеток на 1 ОЗ.
ABILITY_SNACK2_DESC,Heal yourself or another unit 1 HP. 50% chance to also give +1 [img:con].,Исцелите себя или другого юнита на 1 ОЗ. 50% шанс также дать +1 [img:con].
ABILITY_FEATHERFEET_NAME,Feather Feet,Легкие лапки
ABILITY_FEATHERFEET_DESC,Gain +1 [img:spd].,Получите +1 [img:spd].
ABILITY_FEATHERFEET2_DESC,"Gain +1 [img:spd].
Bonus Passive: You're unaffected by tile effects.","Получите +1 [img:spd].
Бонус пассивки: На вас не действуют эффекты тайлов."
ABILITY_REDUCE_NAME,Reduce,Уменьшение
ABILITY_REDUCE_DESC,"Gain +20% dodge chance, +4 [img:spd], and -2 Damage.
[s:.7](Castable once per battle.)[/s]","Получите +20% к уклонению, +4 [img:spd] и -2 к Урону.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_REDUCE2_DESC,"Gain +20% dodge chance, +4 [img:spd], and -2 Damage.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Получите +20% к уклонению, +4 [img:spd] и -2 к Урону.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_NERF_NAME,Nerf,Нерф
ABILITY_NERF_DESC,Inflict -1 Damage on a unit.,Наложите -1 к Урону на юнита.
ABILITY_NERF2_DESC,Inflict -1 Damage and -1 [img:con] on a unit.,Наложите -1 к Урону и -1 [img:con] на юнита.
ABILITY_TRIP_NAME,Trip,Подсечка
ABILITY_TRIP_DESC,"Immobilize an adjacent unit.
[s:.7]This only has a 25% chance to work on boss units and large enemies.[/s]","Обездвижьте соседнего юнита.
[s:.7]Имеет лишь 25% шанс сработать на боссах и крупных врагах.[/s]"
ABILITY_TRIP2_DESC,"Immobilize a unit in range 4.
[s:.7]This only has a 25% chance to work on boss units and large enemies.[/s]","Обездвижьте юнита в радиусе 4.
[s:.7]Имеет лишь 25% шанс сработать на боссах и крупных врагах.[/s]"
ABILITY_COPYCAT_NAME,Copycat,Повторюшка
ABILITY_COPYCAT_DESC,This spell is a copy of the most recent spell an allied cat cast.,"Это заклинание становится копией последнего заклинания, использованного союзным котом."
ABILITY_COPYCAT2_DESC,This spell is an upgraded copy of the most recent spell an allied cat cast.,"Это заклинание становится улучшенной копией последнего заклинания, использованного союзным котом."
ABILITY_METRONOME_NAME,Metronome,Метроном
ABILITY_METRONOME_DESC,Cast a random spell.,Используйте случайное заклинание.
ABILITY_METRONOME2_DESC,Cast a random upgraded spell.,Используйте случайное улучшенное заклинание.
ABILITY_DOLLUP_NAME,Doll Up,Прихорашивание
ABILITY_DOLLUP_DESC,Gain +1 [img:cha].,Получите +1 [img:cha].
ABILITY_DOLLUP2_DESC,"Gain +1 [img:cha].
Bonus Passive: You have a chance to inflict Charm on units that contact or attack you. This chance increases with your [img:cha].","Получите +1 [img:cha].
Бонус пассивки: У вас есть шанс Очаровать юнитов, которые касаются или атакуют вас. Шанс растет с вашей [img:cha]."
ABILITY_STACKTHEDECK_NAME,Stack the Deck,Подтасовка
ABILITY_STACKTHEDECK_DESC,Gain +1 [img:lck].,Получите +1 [img:lck].
ABILITY_STACKTHEDECK2_DESC,Gain +1 [img:lck]. You have +99 [img:lck] during your next action.,Получите +1 [img:lck]. Вы имеете +99 [img:lck] во время вашего следующего действия.
ABILITY_INFILTRATE_NAME,Tunnel,Подкоп
ABILITY_INFILTRATE_DESC,"Dig to any open tile.
[s:.7](Castable once per battle.)[/s]","Прокопайте туннель к любой свободной клетке.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_INFILTRATE2_DESC,"Dig to any open tile.
[s:.7](Castable once per battle. This spell costs 0 mana.)[/s]","Прокопайте туннель к любой свободной клетке.
[s:.7](Можно использовать раз за битву. Это заклинание стоит 0 маны.)[/s]"
ABILITY_BURST_NAME,Burst,Вспышка
ABILITY_BURST_DESC,"Fire a magical blast.
[s:.7](Castable once per battle.)[/s]","Выстрелите магическим зарядом.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURST2_DESC,"Fire a magical blast.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Выстрелите магическим зарядом.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_SUPPRESS_NAME,Stun,Оглушение
ABILITY_SUPPRESS_DESC,"Chuck a rock at a unit, inflicting Stun on that unit.
[s:.7](Castable once per battle.)[/s]","Швырните камень в юнита, накладывая Оглушение.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_SUPPRESS2_DESC,"Chuck a rock at a unit, inflicting Stun on that unit.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Швырните камень в юнита, накладывая Оглушение.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_SECONDWIND_NAME,Second Wind,Второе дыхание
ABILITY_SECONDWIND_DESC,"Refresh your basic attack, movement, weapon, and trinket action.
[s:.7](Castable once per battle.)[/s]","Обновите действия базовой атаки, движения, оружия и брелока.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_SECONDWIND2_DESC,"Refresh your basic attack, movement, weapon, and trinket action.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Обновите действия базовой атаки, движения, оружия и брелока.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_RATROULETTE_NAME,Rat Roulette,Крысиная рулетка
ABILITY_RATROULETTE_DESC,"Deal 1 damage to a random unit. If you kill that unit, take an extra turn.","Нанесите 1 урон случайному юниту. Если вы убьете его, получите дополнительный ход."
ABILITY_RATROULETTE2_DESC,"Deal 2 damage to a random unit. If you kill that unit, take an extra turn.
[s:.7](This spell costs less.)[/s]","Нанесите 2 урона случайному юниту. Если вы убьете его, получите дополнительный ход.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_CATNAP_NAME,Cat Nap,Кошачий сон
ABILITY_CATNAP_DESC,"Remove all of your debuffs, then fall asleep.","Снимите все свои ослабления, затем засните."
ABILITY_CATNAP2_DESC,"Remove all of your debuffs, gain All Stats Up, then fall asleep.","Снимите все свои ослабления, получите Повышение Всех Характеристик, затем засните."
ABILITY_PISSYOURSELF_NAME,Number One,По-маленькому
ABILITY_PISSYOURSELF_DESC,"Spawn ""water"" tiles in an area around yourself.","Создайте тайлы ""воды"" (лужи) в области вокруг себя."
ABILITY_PISSYOURSELF2_DESC,"Spawn ""water"" tiles in a larger area around yourself.","Создайте тайлы ""воды"" в большой области вокруг себя."
ABILITY_FINDAROCK_NAME,Find a Rock,Найти камень
