KEY,en,ru
//weapons,,
ITEM_22RIFLE_NAME,.22 Rifle,Винтовка .22
ITEM_22RIFLE_DESC,Use: Fire a shot anywhere within your line of sight.,Использование: Выстрелите где угодно в пределах вашей линии обзора.
ITEM_ALIENBLASTER_NAME,Alien Blaster,Инопланетный Бластер
ITEM_ALIENBLASTER_DESC,Use: A laser attack. Gains +1 damage for the rest of the battle each time it's used.,Использование: Лазерная атака. Получает +1 к урону до конца битвы при каждом использовании.
ITEM_ALIENTECH_NAME,Alien Tech,Инопланетные Технологии
ITEM_ALIENTECH_DESC,"Use: Target an area. Unleash a hyper beam attack in that area at the start of your next turn.
[s:.7](Usable once per battle.)[/s]","Использование: Выберите область. Выпустите гипер-луч в эту область в начале вашего следующего хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_AMERICANFLAG_NAME,American Flag,Американский Флаг
ITEM_AMERICANFLAG_DESC,"Use: Force a unit to attack one of its enemies.
[s:.7](Usable once per battle.)[/s]","Использование: Заставьте юнита атаковать одного из своих врагов.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_ANARCHISTCOOKBOOK_NAME,Anarchist Cookbook,Поваренная Книга Анархиста
ITEM_ANARCHISTCOOKBOOK_DESC,Use: Summon 3-5 grenades that explode at the end of the round or when destroyed.,"Использование: Призовите 3-5 гранат, которые взрываются в конце раунда или при уничтожении."
ITEM_ANOINTINGOIL_NAME,Anointing Oil,Масло Помазания
ITEM_ANOINTINGOIL_DESC,"Use: Cleanse debuffs from an adjacent unit or yourself.
[s:.7](Usable once per battle.)[/s]","Использование: Снимите ослабления с соседнего юнита или себя.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_BAGOFCHUM_NAME,Bag Of Chum,Мешок с Потрохами
ITEM_BAGOFCHUM_DESC,Use: Spawn a Charmed Maggot.,Использование: Создайте Очарованного Опарыша.
ITEM_BAGOFGLASS_NAME,Bag o' Glass,Мешок Стекла
ITEM_BAGOFGLASS_DESC,"Use: Spawn Glass on an adjacent tile.
5% chance to break when used.","Использование: Создайте Стекло на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BAGOFGLITTER_NAME,Bag o' Glitter,Мешок Блесток
ITEM_BAGOFGLITTER_DESC,"Use: Inflict Blind 2 on an adjacent unit.
5% chance to break when used.","Использование: Наложите Слепоту 2 на соседнего юнита.
5% шанс сломаться при использовании."
ITEM_BAGOFMEAT_NAME,Bag o' Meat,Мешок Мяса
ITEM_BAGOFMEAT_DESC,"Use: Spawn Meat on an adjacent tile.
5% chance to break when used.","Использование: Создайте Мясо на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BAGOFROCKS_NAME,Bag of Rocks,Мешок Камней
ITEM_BAGOFROCKS_DESC,Use: A melee attack that inflicts Bruise.,"Использование: Атака ближнего боя, накладывающая Ушиб."
ITEM_BAGOFSTUFF_NAME,Bag o' Stuff,Мешок Барахла
ITEM_BAGOFSTUFF_DESC,"Use: Spawn a random pickup on an adjacent tile.
5% chance to break when used.","Использование: Создайте случайный предмет на соседней клетке.
5% шанс сломаться при использовании."
ITEM_BALLPEENHAMMER_NAME,Ball-Peen Hammer,Молоток-Ручник
ITEM_BALLPEENHAMMER_DESC,"Use: A melee attack. If used on an ally, give +1 use to all of their items instead of dealing damage.
5% chance to break when used to repair items.","Использование: Атака ближнего боя. При использовании на союзнике: дает +1 использование всем его предметам вместо нанесения урона.
5% шанс сломаться при использовании для починки предметов."
ITEM_BARBEDPAW_NAME,Barbed Paw,Колючая Лапа
ITEM_BARBEDPAW_DESC,"Use: A melee attack that inflicts Bleed 1.
Passive: +1 Thorns.","Использование: Атака ближнего боя, накладывающая Кровотечение 1.
Пассивно: +1 Шипы."
ITEM_BATTERY_NAME,Battery,Батарейка
ITEM_BATTERY_DESC,Use: A ranged lightning attack with a 10% chance to Stun.,Использование: Дальняя электрическая атака с 10% шансом Оглушения.
ITEM_BATTLEAXE_NAME,Battle Axe,Боевой Топор
ITEM_BATTLEAXE_DESC,"Use: A melee spin attack.
This uses up both your movement and attack action.","Использование: Круговая атака ближнего боя.
Это тратит и ваше движение, и действие атаки."
ITEM_BEARTRAPS_NAME,Bear Traps,Медвежьи Капканы
ITEM_BEARTRAPS_DESC,Use: Place a Bear Trap.,Использование: Установите Медвежий Капкан.
ITEM_BENTSPOON_NAME,Bent Spoon,Гнутая Ложка
ITEM_BENTSPOON_DESC,Use: Pull any unit 1 tile toward you and deal 1 damage to it.,Притяните любого юнита на 1 клетку к себе и нанесите ему 1 урон.
ITEM_BIBLE_NAME,The Bible,Библия
ITEM_BIBLE_DESC,"Use: Cleanse one stack of a random debuff from a unit at melee range. 
Passive: Your heals heal for 1 extra.","Использование: Снимите один стак случайного ослабления с юнита в ближнем бою.
Пассивно: Ваши исцеления лечат на 1 больше."
ITEM_BIGGESTSTICK_NAME,Biggest Stick,Самая Большая Палка
ITEM_BIGGESTSTICK_DESC,Use: A melee attack with +3 reach.,Использование: Атака ближнего боя с +3 к дальности.
ITEM_BIGSPRING_NAME,Big Spring,Большая Пружина
ITEM_BIGSPRING_DESC,Use: Throw an adjacent unit to a tile.,Использование: Бросьте соседнего юнита на клетку.
