KEY,en,ru
PASSIVE_SELFASSURED_NAME,Self-Assured,Самоуверенный
PASSIVE_SELFASSURED_DESC,Gain a random stat up whenever you down a unit.,"Получите повышение случайной хар-ки, когда вырубаете юнита."
PASSIVE_SELFASSURED2_DESC,Gain All Stats Up whenever you down a unit.,"Получите Повышение Всех Характеристик, когда вырубаете юнита."
PASSIVE_LUCKDRAIN_NAME,Luck Drain,Высасывание Удачи
PASSIVE_LUCKDRAIN_DESC,Gain +1 [img:lck] whenever a unit is downed.,"Получите +1 [img:lck], когда юнит вырублен."
PASSIVE_LUCKDRAIN2_DESC,"Gain +1 [img:lck] whenever a unit is downed.
Gain an extra +2 [img:lck] whenever YOU down a unit.","Получите +1 [img:lck], когда юнит вырублен.
Получите доп. +2 [img:lck], когда ВЫ вырубаете юнита."
PASSIVE_INFESTED_NAME,Infested,Зараженный
PASSIVE_INFESTED_DESC,50% chance to spawn a flea familiar when you end your turn.,50% шанс призвать блоху фамильяра в конце хода.
PASSIVE_INFESTED2_DESC,"Spawn 2-3 fleas at the start of each battle.
50% chance to spawn a flea familiar when you end your turn.","Призывает 2-3 блохи в начале каждой битвы.
50% шанс призвать блоху фамильяра в конце хода."
PASSIVE_WORMS_NAME,Worms,Черви
PASSIVE_WORMS_DESC,50% chance to spawn a maggot familiar when you end your turn.,50% шанс призвать личинку фамильяра в конце хода.
PASSIVE_WORMS2_DESC,50% chance to spawn a mutated maggot familiar when you end your turn.,50% шанс призвать мутировавшую личинку фамильяра в конце хода.
PASSIVE_AMPED_NAME,Amped,Усиленный
PASSIVE_AMPED_DESC,Gain +1 [img:spd] at the end of your turn.,Получите +1 [img:spd] в конце вашего хода.
PASSIVE_AMPED2_DESC,"Gain +1 [img:spd] at the end of your turn.
You can move an extra time each turn.","Получите +1 [img:spd] в конце вашего хода.
Вы можете двигаться доп. раз каждый ход."
PASSIVE_FURIOUS_NAME,Furious,Яростный
PASSIVE_FURIOUS_DESC,"Gain +1 Damage each time you land a critical hit.
+5% critical hit chance.","Получите +1 Урон каждый раз при крит. ударе.
+5% шанс крита."
PASSIVE_FURIOUS2_DESC,"Gain +1 Damage and +5% critical hit chance each time you land a critical hit.
+5% critical hit chance.","Получите +1 Урон и +5% шанс крита каждый раз при крит. ударе.
+5% шанс крита."
PASSIVE_DEATHLESS_NAME,Deathless,Бессмертный
PASSIVE_DEATHLESS_DESC,+3 Corpse HP,+3 ОЗ Трупа
PASSIVE_DEATHLESS2_DESC,+96 Corpse HP,+96 ОЗ Трупа
PASSIVE_METALDETECTOR_NAME,Metal Detector,Металлоискатель
PASSIVE_METALDETECTOR_DESC,5% chance to spawn a coin when you move over a tile.,5% шанс создать монетку при движении по тайлу.
PASSIVE_METALDETECTOR2_DESC,10% chance to spawn a coin when you move over a tile.,10% шанс создать монетку при движении по тайлу.
PASSIVE_DEATHPROOF_NAME,Deathproof,Защита от смерти
PASSIVE_DEATHPROOF_DESC,"While downed, you have a 25% chance to revive with 1 HP at the end of each round.","Пока вырублены, имеете 25% шанс воскреснуть с 1 ОЗ в конце раунда."
PASSIVE_DEATHPROOF2_DESC,"While downed, you have a 33% chance to revive with 10 HP and All Stats Up at the end of each round.","Пока вырублены, имеете 33% шанс воскреснуть с 10 ОЗ и Повышением Всех Хар-к в конце раунда."
PASSIVE_LEADER_NAME,Leader,Лидер
PASSIVE_LEADER_DESC,Adjacent allies have +1 Damage and +1 Range.,Соседние союзники имеют +1 Урон и +1 Дальность.
PASSIVE_LEADER2_DESC,All allies have +1 Damage and +1 Range.,Все союзники имеют +1 Урон и +1 Дальность.
PASSIVE_MANGE_NAME,Mange,Парша
PASSIVE_MANGE_DESC,Inflict Poison 1 on units that contact you.,"Накладывает Яд 1 на юнитов, касающихся вас."
PASSIVE_MANGE2_DESC,"Inflict 1 Poison, Bleed, Bruise, Weakness, and Leech on units that contact you.","Накладывает 1 Яд, Кровотечение, Ушиб, Слабость и Пиявку на юнитов, касающихся вас."
PASSIVE_ETANK_NAME,E-Tank,Е-Танк
PASSIVE_ETANK_DESC,Start each battle with +20 unfilled max health.,Начинает битву с +20 незаполненного макс. здоровья.
PASSIVE_ETANK2_DESC,Start each battle with +50 unfilled max health.,Начинает битву с +50 незаполненного макс. здоровья.
PASSIVE_CAREFUL_NAME,Careful,Осторожный
PASSIVE_CAREFUL_DESC,Damage you deal to other allies is reduced to 0.,"Урон, наносимый вами союзникам, снижен до 0."
PASSIVE_CAREFUL2_DESC,"Damage you deal to other allies is reduced to 0. You cannot inflict debuffs on other allies.
You are careful in many other ways too.","Урон, наносимый вами союзникам, снижен до 0. Вы не можете накладывать дебаффы на союзников.
Вы осторожны во многих других смыслах тоже."
PASSIVE_DIRTYCLAWS_NAME,Dirty Claws,Грязные Когти
PASSIVE_DIRTYCLAWS_DESC,Your physical attacks on Poisoned or Bleeding enemies inflict +1 Poison and/or Bleed.,Ваши физ. атаки по Отравленным или Кровоточащим врагам накладывают +1 Яд и/или Кровотечение.
PASSIVE_DIRTYCLAWS2_DESC,"Your basic attack inflicts Poison 1 and Bleed 1. 
Your physical attacks on Poisoned or Bleeding enemies inflict +1 Poison and/or Bleed.","Ваша базовая атака накладывает Яд 1 и Кровотечение 1.
Ваши физ. атаки по Отравленным или Кровоточащим врагам накладывают +1 Яд и/или Кровотечение."
PASSIVE_LATEBLOOMER_NAME,Late Bloomer,Поздний Расцвет
PASSIVE_LATEBLOOMER_DESC,"On your 5th turn, you gain All Stats Up 3.","На вашем 5-м ходу, получите Повышение Всех Хар-к 3."
PASSIVE_LATEBLOOMER2_DESC,"On your 3rd turn, you gain All Stats Up 3.","На вашем 3-м ходу, получите Повышение Всех Хар-к 3."
PASSIVE_STUDY_NAME,Study,Изучение
PASSIVE_STUDY_DESC,Gain +1 [img:int] whenever you hit a new type of unit with an attack or ability.,"Получите +1 [img:int], когда бьете новый тип юнита атакой или способностью."
PASSIVE_STUDY2_DESC,Gain +1 [img:int] whenever you hit a new type of unit with an attack or ability. All enemies of that type become Marked.,"Получите +1 [img:int], когда бьете новый тип юнита атакой или способностью. Все враги этого типа становятся Помеченными."
PASSIVE_SKILLSHARE_NAME,Skill Share,Обмен Навыками
PASSIVE_SKILLSHARE_DESC,Your other passive ability is shared with the other cats in your party at the start of each battle.,Ваша другая пассивная способность передается другим котам в группе в начале битвы.
PASSIVE_SKILLSHARE2_DESC,"Your other passive ability is shared with the other cats in your party at the start of each battle. When breeding, your children will always inherit your other passive.","Ваша другая пассивная способность передается другим котам в группе в начале битвы. При разведении, дети всегда наследуют вашу другую пассивку."
PASSIVE_NATURALHEALING_NAME,Natural Healing,Природное Исцеление
PASSIVE_NATURALHEALING_DESC,You have +1 Health Regeneration,У вас +1 Регенерация Здоровья
PASSIVE_NATURALHEALING2_DESC,"You have +2 Health Regeneration
Adjacent allies gain +1 Health Regeneration","У вас +2 Регенерация Здоровья
Соседние союзники получают +1 Регенерацию Здоровья"
PASSIVE_LONGSHOT_NAME,Longshot,Дальний Выстрел
PASSIVE_LONGSHOT_DESC,+1 Range.,+1 Дальность.
